secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201007,20200908,P,3220000,59.8,61.3,1,135904222,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3225000,61,62.5,10,135904223,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3230000,62.3,63.8,0,135904224,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3240000,64.9,66.5,0,135904225,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3250000,67.7,69.2,5,135904226,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3260000,70.5,72.1,4,135904227,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3270000,73.5,75.1,0,135904228,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3275000,75.1,76.7,0,135904229,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3280000,76.7,78.3,0,135904230,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3290000,79.9,81.6,0,135904231,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3300000,83.4,85,1,135904232,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3310000,86.9,88.6,0,135904233,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3320000,90.6,92.3,0,135904234,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3325000,92.5,94.2,0,135904235,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3330000,94.5,96.2,1,135904236,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3340000,98.5,100.2,26,135904237,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3350000,102.6,104.4,25,135904238,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3360000,107,108.8,31,135904239,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3370000,111.5,113.3,31,135904240,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3375000,113.9,115.7,50,135904241,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3380000,116.3,118.1,50,135904242,1,CBOE S&P 500 INDEX,E
