 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134592267    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200713    108105      501.50     505.40         0    2835000
134227945    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105      496.80     500.90         0    2840000
134592268    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      491.80     496.00         0    2845000
129372858    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      486.80     490.60         3    2850000
134592269    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      482.00     485.80         0    2855000
134227946    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200826    108105      477.10     481.20         0    2860000
134592270    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      472.10     476.30         0    2865000
134227947    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105      467.20     471.40         0    2870000
129372859    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200901    108105      462.20     466.00         0    2875000
134227948    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105      457.30     461.10         0    2880000
134592271    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      452.40     456.20         0    2885000
134227949    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200817    108105      447.50     451.30         0    2890000
134592272    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200807    108105      442.60     446.40         0    2895000
129372860    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      437.70     441.50         0    2900000
134592273    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      432.80     436.60         0    2905000
134227950    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200831    108105      427.90     431.70         0    2910000
134592274    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      423.00     426.80         0    2915000
134227951    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200519    108105      418.20     422.40         0    2920000
129372861    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      413.30     417.50         1    2925000
